"X","full","no_pol","no_dem","no_poly_no_demi"
"accipitriformes",NA,239.146354903772,NA,237.14635439653
"anabantiformes",182.426150109104,201.177781884429,180.426150108132,232.723532260103
"anura",2453.34223434706,2844.19021494326,2866.03996967063,5139.54417413294
"araneae",500.834801985979,498.443817904873,498.8499829794,496.103842921416
"asteraceae",16489.3789364398,20548.4273312597,18288.3553496345,NA
"blattodea",193.957026034345,197.665547018806,200.901203390903,206.693419954728
"brassicaceae",8143.27079157878,10213.3995245426,9474.93094687822,NA
"bryophyta",1073.8557118331,1226.15179825642,1081.77890093593,1468.82726188292
"carabidae",363.198999820512,361.422476512719,366.617167557001,369.419820939817
"carnivora",423.823874510862,452.035553134025,443.563109294384,556.68530819654
"caudata",373.336128105021,367.172744928538,472.26740884658,495.541537925648
"cetacea",NA,NA,NA,20.9436196815566
"characidae",652.455549263507,675.871000767048,669.148054901221,877.748981102619
"chiroptera",708.967883728161,706.967883070637,736.963722285711,732.422857212533
"chondrichthyes",480.198342181393,480.999670398136,500.367255997979,524.470285814213
"chrysomelidae",809.056142531995,817.844537871414,894.23915292936,957.531233542528
"cichlidae",226.910461605411,225.482360908198,257.680081533561,255.696871773866
"coccinellidae",83.5465257519283,81.5465257511161,85.7218207247412,85.7131133997897
"cricetidae",584.046617279062,591.630744665551,582.046617274094,615.963621470015
"curculionidae",144.4538682636,151.150771747559,160.046493159946,166.572036365665
"cyprinidae",573.33563354979,780.805175614364,1305.81151896862,2205.97326623587
"drosophilidae",527.804576430663,525.804575074122,541.666558412263,539.666555328713
"dytiscidae",108.136463769711,114.779942441618,106.136463744654,132.285523473536
"fabaceae",5946.34931556666,7296.75743002125,6728.17395182076,NA
"fungi",215.321084777103,213.321083052436,213.321083053225,211.321083378627
"galliformes",NA,280.777327145653,NA,316.956676221744
"gobiidae",268.659255194759,269.606788177775,349.362989243909,NA
"hemiptera",233.553767547538,231.553767548148,230.089642110515,238.39758949946
"hydrophilidae",56.447142603893,54.4471423449287,59.5839253295527,61.5437627607642
"hymenoptera",1858.07330938645,1882.07225791238,1943.69196497036,2120.76203509109
"iguania",1307.78741703065,1315.43546950533,1435.07778847607,1440.4839251641
"lepidoptera",2182.47547059525,2212.33589284975,2203.55862901396,2358.89122260185
"magnoliaceae",119.256637443774,307.97028168236,328.883394142403,391.631678470131
"marsupialia",106.445826755797,104.4458267591,120.274831970292,118.461327378157
"muridae",332.510353855836,332.762514517997,336.798327367648,334.798327381221
"nothobranchiidae",409.808078590829,408.911754115638,419.688164383788,425.939020348952
"odonata",NA,73.3433800523492,NA,99.6978752603584
"orchidaceae",9421.09150825751,10361.78312191,9878.17150210519,NA
"orthoptera",98.1345171454282,111.18243710066,104.163968613446,113.795355210689
"passeriformes",1519.60341845771,1519.60341845771,1538.78894603729,1538.78894603729
"passifloraceae",417.979746586088,529.769402099141,552.741578278222,739.634492486014
"phasmatodea",56.6784778268811,59.3813704063525,54.6784759957976,65.4547841945912
"primates",444.105650948203,443.915104952283,450.092583979056,467.970855979635
"pteridophyta",9065.88587980112,17648.2763326262,15141.7301341049,NA
"rubiaceae",2720.64348013383,4402.0939402013,3882.00405543481,NA
"scarabidae",462.304567584253,461.637963345762,501.31898995685,511.507442483856
"scincoidea",248.63538050126,246.641188558497,259.465538332183,257.46553832501
"scorpiones",233.274905198746,231.274905197047,254.0323165255,251.923215147614
"serpentes",NA,521.998952252633,NA,519.998952267122
"siluriformes",1385.58060544585,1422.60377817822,1783.20541279408,2063.93921211267
"solanaceae",1906.86888202042,3152.56386657479,2463.06237995594,5832.48305676865
"tenebrionidae",91.7547210145396,94.9659345044363,89.7547209322613,109.43773412292
"testudines",316.727845259226,326.090108989682,377.085435327786,442.785353232812
